SCHOOL_ID,DATUM,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
019KB_2017,2017,OBS De Octopus,9967PS,EENRUM,1663,De Marne,Groningen,Bo,Openbaar,13683,CET,26,538.2307692307689
019KD_2017,2017,BS De Triangel,9843HA,GRIJPSKERK,56,Zuidhorn,Groningen,Bo,Openbaar,41846,CET,13,536.615384615385
019KI_2017,2017,De Bron,3343CB,HENDRIK-IDO-AMBACHT,531,Hendrik-Ido-Ambacht,Zuid-Holland,Bo,Openbaar,42562,IEP,67,82.4331072916893
019KK_2017,2017,Ten Darperschoele,7983KN,WAPSE,1701,Westerveld,Drenthe,Bo,Openbaar,41868,ROUTE8,11,207.0
019KV_2017,2017,BS De Beemden,5283KG,BOXTEL,757,Boxtel,Noord-Brabant,Bo,Rooms-Katholiek,40706,IEP,23,82.7566008097098
019KX_2017,2017,OBS Wirdumerklimmer,9919TG,LOPPERSUM,24,Loppersum,Groningen,Bo,Openbaar,41574,CET,9,539.666666666667
019LD_2017,2017,Basisschool Gerardus,7532AS,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,45,535.711111111111
019LE_2017,2017,KBS St. Jozef,5121EG,RIJEN,784,Gilze en Rijen,Noord-Brabant,Bo,Rooms-Katholiek,73191,CET,47,533.893617021277
019LF_2017,2017,Chr BS t Mozaiek,8172VX,VAASSEN,232,Epe,Gelderland,Bo,Protestants-Christelijk,41736,CET,33,532.454545454546
019LH_2017,2017,obs de Getyden,9968AL,PIETERBUREN,1663,De Marne,Groningen,Bo,Openbaar,13683,CET,6,534.666666666667
019LI_2017,2017,De Zonnebloem,2565RE,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,60,535.65
019LM_2017,2017,De Dubbeldekker,1212AL,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,IEP,13,68.6501978980372
019LR_2017,2017,BS De Vorsenpoel,5283CV,BOXTEL,757,Boxtel,Noord-Brabant,Bo,Rooms-Katholiek,40706,IEP,42,80.41324604116629
019LU_2017,2017,De Regenboog,7542GT,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,18,533.166666666667
019LV_2017,2017,KBS Burg. van Mierlo,5121HT,RIJEN,784,Gilze en Rijen,Noord-Brabant,Bo,Rooms-Katholiek,73191,CET,11,534.454545454546
