BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LJ8_13;ZIT_13;ZITPERC_13;ZITPERC_LJ_13;LJ8_14;ZIT_14;ZITPERC_14;ZITPERC_LJ_14;LJ8_15;ZIT_15;ZITPERC_15;ZITPERC_LJ_15;LJ8_16;ZIT_16;ZITPERC_16;ZITPERC_LJ_16;LJ8_17;ZIT_17;ZITPERC_17;ZITPERC_LJ_17;LJ8_18;ZIT_18;ZITPERC_18;ZITPERC_LJ_18;LJ8_19;ZIT_19;ZITPERC_19;ZITPERC_LJ_19
08AK;00;Basissch De Stifthorst;3927CK;RENSWOUDE; 339;Renswoude;Utrecht;Bo;Protestants-Christelijk;41621;19;3;,157894736842105;,0197368421052632;38;3;,0789473684210526;,00986842105263158;20;6;,3;,0375;25;5;,2;,025;24;0;0;0;15;1;,0666666666666667;,00833333333333333;28;3;,107142857142857;,0133928571428571
08AL;00;Chr Basisschool;7797HM;RHEEZERVEEN; 160;Hardenberg;Overijssel;Bo;Protestants-Christelijk;40946;6;2;,333333333333333;,0416666666666667;4;1;,25;,03125;6;1;,166666666666667;,0208333333333333;6;0;0;0;2;0;0;0;0;0; ; ;6;0;0;0
08AM;00;Van Brienenoordschool;3077NK;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;31075;53;13;,245283018867925;,0306603773584906;1;1;1;,125;53;8;,150943396226415;,0188679245283019;51;4;,0784313725490196;,00980392156862745;42;4;,0952380952380952;,0119047619047619;40;5;,125;,015625;42;4;,0952380952380952;,0119047619047619
08AO;00;COS De Wereld;3039DH;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;74531;29;4;,137931034482759;,0172413793103448;20;4;,2;,025;37;6;,162162162162162;,0202702702702703;24;2;,0833333333333333;,0104166666666667;16;5;,3125;,0390625;10;6;,6;,075;14;3;,214285714285714;,0267857142857143
08AP;00;De Triangel;7954GC;ROUVEEN; 180;Staphorst;Overijssel;Bo;Protestants-Christelijk;90637;35;3;,0857142857142857;,0107142857142857;24;1;,0416666666666667;,00520833333333333;28;0;0;0;43;1;,0232558139534884;,00290697674418605;24;0;0;0;27;1;,037037037037037;,00462962962962963;30;3;,1;,0125
08AQ;00;Basisschool Harm Vonck;7961LS;RUINERWOLD;1690;De Wolden;Drenthe;Bo;Protestants-Christelijk;41196;2;0;0;0;8;1;,125;,015625;3;0;0;0;5;0;0;0;0;0; ; ;0;0; ; ;0;0; ; 
08AS;00;cbs De Borgstee;9909AV;SPIJK GN;  10;Delfzijl;Groningen;Bo;Protestants-Christelijk;41558;6;4;,666666666666667;,0833333333333333;13;3;,230769230769231;,0288461538461538;16;0;0;0;22;3;,136363636363636;,0170454545454545;28;0;0;0;17;3;,176470588235294;,0220588235294118;26;0;0;0
08AU;00;PC Basisschool De Rank;7227DC;TOLDIJK;1876;Bronckhorst;Gelderland;Bo;Protestants-Christelijk;41011;12;2;,166666666666667;,0208333333333333;10;1;,1;,0125;14;2;,142857142857143;,0178571428571429;13;3;,230769230769231;,0288461538461538;6;2;,333333333333333;,0416666666666667;16;3;,1875;,0234375;11;3;,272727272727273;,0340909090909091
08AV;00;School Met De Bijbel;2959AM;STREEFKERK;1978;Molenlanden;Zuid-Holland;Bo;Reformatorisch;91456;24;2;,0833333333333333;,0104166666666667;15;0;0;0;18;1;,0555555555555556;,00694444444444444;28;2;,0714285714285714;,00892857142857143;25;2;,08;,01;28;6;,214285714285714;,0267857142857143;26;3;,115384615384615;,0144230769230769
08AW;00;Basisschool De Parel;3291XJ;STRIJEN;1963;Hoeksche Waard;Zuid-Holland;Bo;Protestants-Christelijk;41127;28;1;,0357142857142857;,00446428571428571;26;1;,0384615384615385;,00480769230769231;41;2;,0487804878048781;,00609756097560976;28;8;,285714285714286;,0357142857142857;33;3;,0909090909090909;,0113636363636364;30;1;,0333333333333333;,00416666666666667;25;2;,08;,01
