"Buurten";"bevolking totaal|2018";"mannen (aantal)|2018";"vrouwen (aantal)|2018";"jeugd: 0 t/m 17 jarigen|2018";"jongeren: 18 t/m 26 jaar|2018";"volwassenen: 27 t/m 64 jaar|2018";"senioren: 65 jaar en ouder|2018";"woonruimten|2018";"zelfstandige woningen eigenaar-bewoner|2018";"zelfstandige woningen in corporatief bezit|2018";"gemiddeld huishoudensinkomen|2018";"percentage minimahuishoudens|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal fiets|2018";"aangiften diefstal auto|2018";"aangiften diefstal af/uit auto|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"1702 Haren-Zuidoost";"";"";"";"";"";"";"";"";"";"";50,3;7,8;16;5;6;4;2;0;5
"1703 Haren-Noord";"";"";"";"";"";"";"";"";"";"";58,3;6,2;4;0;8;1;6;0;3
"1704 Essen";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1705 Buitengebied Haren-Noordwest";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1706 Nesciopark";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1707 Paterswoldsemeer";"";"";"";"";"";"";"";"";"";"";"-";"";2;0;3;4;4;0;4
"1708 Buitengebied Haren-Zuidoost";"";"";"";"";"";"";"";"";"";"";132,0;"";2;0;1;1;0;0;0
"1709 Wolddeelen";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1710 Buitengebied Haren-Zuidwest";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1800 Oosterhaar";"";"";"";"";"";"";"";"";"";"";46,5;7,7;3;1;0;0;1;0;2
"1801 Tuindorp";"";"";"";"";"";"";"";"";"";"";40,5;"";1;0;0;0;0;0;0
"1802 Felland";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;1;0;0
"1803 Buitengebied Haren-Noordoost";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1900 Glimmen Dorp";"";"";"";"";"";"";"";"";"";"";58,9;5,6;1;1;0;4;2;0;2
"1901 Onnen Dorp";"";"";"";"";"";"";"";"";"";"";61,7;5,5;1;0;0;0;0;0;0
"1902 Noordlaren Dorp";"";"";"";"";"";"";"";"";"";"";54,6;5,7;0;0;0;0;0;0;0
"1903 Buitengebied Glimmen";"";"";"";"";"";"";"";"";"";"";61,4;6,7;1;1;0;0;0;0;1
"1904 Buitengebied Onnen";"";"";"";"";"";"";"";"";"";"";62,1;0,0;0;0;0;0;0;0;0
"1905 Buitengebied Noordlaren";"";"";"";"";"";"";"";"";"";"";"-";7,9;0;0;0;0;0;0;0
"1906 Zuidlaardermeer";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1907 Noordlaarderbos";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1908 Appelbergen Glimmen";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1909 Appelbergen Onnen";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"Buurt onbekend";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
