buurt_number,dogs_amount,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,mannen_perc,vrouwen_perc,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,perc_jeugd_0_17_jaar,perc_jongeren_18_26_jaar,perc_volwassenen_27_64_jaar,perc_senioren_65_jaar_en_ouder,woonruimten,percentage_woonruimten,perc_zelfstandige_woningen_eigenaar-bewoner,perc_zelfstandige_woningen_in_corporatief_bezit,perc_zelfstandige_woningen_overig_incl_onbekend,gemiddeld_huishoudensinkomen,koopkracht_van_huishoudens,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_af_uit_woning_relatief,aangiften_diefstal_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_diefstal_fiets,aangiften_diefstal_af_uit_auto,aangiften_van_mishandeling,aangiften_van_vernieling,aangiften_mishandeling_relatief,buurt_name
0809,27,0,0.0,276.0,140.0,136.0,50.7,49.3,53.0,26.0,151.0,46.0,19.2,9.4,54.7,16.7,98.0,79.7,80.6,0.0,19.4,39.6,89.7,8.7,4.0,40.8,1.0,0.0,0.0,0.0,1.0,2.0,3.6,Bangeweer
0810,69,0,0.0,1604.0,780.0,824.0,48.6,51.4,513.0,88.0,862.0,141.0,32.0,5.5,53.7,8.8,548.0,100.0,86.9,7.3,5.8,63.8,129.9,0.9,7.0,12.8,0.0,0.0,2.0,1.0,2.0,6.0,1.2,De Buitenhof
0811,2,0,0.0,3.0,2.0,1.0,66.7,33.3,0.0,0.0,2.0,1.0,0.0,0.0,66.7,33.3,3.0,6.7,33.3,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kranenburg
0812,14,54,25.8,331.0,159.0,172.0,48.0,52.0,87.0,33.0,167.0,44.0,26.3,10.0,50.5,13.3,57.0,97.2,7.0,89.5,3.5,25.2,57.5,56.7,1.0,17.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,De Kring
0900,251,302,6.7,6119.0,3152.0,2967.0,51.5,48.5,745.0,1991.0,2377.0,1002.0,12.2,32.5,38.8,16.4,2743.0,90.6,27.8,62.2,10.0,28.8,71.8,20.2,17.0,6.2,1.0,3.0,20.0,5.0,14.0,30.0,2.3,Vinkhuizen-Noord
0901,229,426,14.6,4861.0,2228.0,2633.0,45.8,54.2,1007.0,580.0,2122.0,1147.0,20.7,11.9,43.7,23.6,2328.0,89.3,21.6,61.8,16.6,29.2,71.1,27.2,12.0,5.2,1.0,4.0,11.0,5.0,26.0,51.0,5.3,Vinkhuizen-Zuid
0902,11,0,0.0,130.0,79.0,51.0,60.8,39.2,16.0,17.0,86.0,11.0,12.3,13.1,66.2,8.5,43.0,24.1,67.4,0.0,32.6,0.0,0.0,0.0,1.0,23.3,0.0,8.0,5.0,1.0,5.0,9.0,38.5,Hoendiep
0903,0,0,0.0,42.0,27.0,15.0,64.3,35.7,3.0,17.0,18.0,4.0,7.1,40.5,42.9,9.5,19.0,22.6,36.8,0.0,63.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Friesestraatweg
0904,100,0,0.0,2685.0,1383.0,1302.0,51.5,48.5,902.0,138.0,1497.0,147.0,33.6,5.1,55.8,5.5,934.0,92.7,82.7,3.1,14.2,61.6,128.9,2.2,7.0,7.5,0.0,2.0,7.0,3.0,15.0,18.0,5.6,Reitdiep
0905,9,0,0.0,83.0,46.0,37.0,55.4,44.6,15.0,8.0,43.0,17.0,18.1,9.6,51.8,20.5,36.0,92.3,66.7,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,Dorkwerd
